name,rating,myanimelist,watching_servers,download_servers,veiws,counting_comment
bucchigiri Special,8.48,,"<div class=""slider"">
<div class=""item"">
<span class=""server active
                                crunchyroll"">
<a data-src=""https://videos.vid4up.xyz/embedvideo/65dba512268f2"">Blkom</a>
</span>
</div>
</div>","<div class=""modal-dialog modal-lg modal-content"" role=""document"">
<div class=""modal_heading modal-header"">
<button class=""close"" data-dismiss=""modal"" aria-label=""Close"">×</button>
<div class=""clearfix""></div>
</div>
<div class=""modal-body direct-download"">
<div class=""text-center direct-download-label"">التحميل المباشر</div>
<div class=""row video-files"">
<div class=""col-xs-12 text-left video-files-links"">
<div class=""panel panel-default"">
<div class=""panel-heading"" dir=""rtl"">
<a>ترجمة : Crunchyroll</a>
</div>
<div class=""panel-body"">
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65dba5132fd82/download"" class=""btn btn-white"" title=""Crunchyroll"">
360p
<small>63.65 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65dba51337b69/download"" class=""btn btn-white"" title=""Crunchyroll"">
480p
<small>113.75 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65dba51341ea0/download"" class=""btn btn-white"" title=""Crunchyroll"">
720p
<small>175.97 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65dba513542ef/download"" class=""btn btn-white"" title=""Crunchyroll"">
1080p
<small>342.87 MiB</small>
</a>
</div>
</div>
</div>
</div>
</div>
<div class=""clearfix""></div>
<div class=""modal-body"" style=""padding: 0 15px"">
</div>
</div>",,0
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su episodes",6,,"<div class=""slider"">
<div class=""item"">
<span class=""server active
                                crunchyroll"">
<a data-src=""https://videos.vid4up.xyz/embedvideo/65a3f39714bc8"">Blkom</a>
</span>
</div>
</div>","<div class=""modal-dialog modal-lg modal-content"" role=""document"">
<div class=""modal_heading modal-header"">
<button class=""close"" data-dismiss=""modal"" aria-label=""Close"">×</button>
<div class=""clearfix""></div>
</div>
<div class=""modal-body direct-download"">
<div class=""text-center direct-download-label"">التحميل المباشر</div>
<div class=""row video-files"">
<div class=""col-xs-12 text-left video-files-links"">
<div class=""panel panel-default"">
<div class=""panel-heading"" dir=""rtl"">
<a>ترجمة : Crunchyroll</a>
</div>
<div class=""panel-body"">
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65a3f3a423bad/download"" class=""btn btn-white"" title=""Crunchyroll"">
360p
<small>56.23 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65a3f3a4e4344/download"" class=""btn btn-white"" title=""Crunchyroll"">
480p
<small>103.15 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65a3f3a541dd2/download"" class=""btn btn-white"" title=""Crunchyroll"">
720p
<small>163.88 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65a3f3a555930/download"" class=""btn btn-white"" title=""Crunchyroll"">
1080p
<small>331.54 MiB</small>
</a>
</div>
</div>
</div>
</div>
</div>
<div class=""clearfix""></div>
<div class=""modal-body"" style=""padding: 0 15px"">
</div>
</div>",,0
Kyuujitsu no Warumono-san,5.03,https://myanimelist.net/anime/54617/Kyuujitsu_no_Warumono-san,"<div class=""slider"">
<div class=""item"">
<span class=""server active
                                crunchyroll"">
<a data-src=""https://videos.vid4up.xyz/embedvideo/65f73e915615a"">Blkom</a>
</span>
</div>
</div>","<div class=""modal-dialog modal-lg modal-content"" role=""document"">
<div class=""modal_heading modal-header"">
<button class=""close"" data-dismiss=""modal"" aria-label=""Close"">×</button>
<div class=""clearfix""></div>
</div>
<div class=""modal-body direct-download"">
<div class=""text-center direct-download-label"">التحميل المباشر</div>
<div class=""row video-files"">
<div class=""col-xs-12 text-left video-files-links"">
<div class=""panel panel-default"">
<div class=""panel-heading"" dir=""rtl"">
<a>ترجمة : Crunchyroll</a>
</div>
<div class=""panel-body"">
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f73e91c4b54/download"" class=""btn btn-white"" title=""Crunchyroll"">
360p
<small>38.31 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f73e91c8c09/download"" class=""btn btn-white"" title=""Crunchyroll"">
480p
<small>56.41 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f73e91cac80/download"" class=""btn btn-white"" title=""Crunchyroll"">
720p
<small>85.63 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f73e91ccd50/download"" class=""btn btn-white"" title=""Crunchyroll"">
1080p
<small>172.08 MiB</small>
</a>
</div>
</div>
</div>
</div>
</div>
<div class=""clearfix""></div>
<div class=""modal-body"" style=""padding: 0 15px"">
</div>
<hr style=""margin: 0;"">
<div class=""modal-header"">
<div class=""row"">
<div class=""col-xs-12 text-center"">
<span>يمكنك تحميل الأنمي برابط واحد مباشر</span><br><br>
<a class=""btn btn-block btn-red sharp"" href=""https://blkom.com/anime/kyuujitsu-no-warumono-san/download"">تحميل عدة حلقات</a>
</div>
</div>
<div class=""clearfix""></div>
</div>
</div>",,0
Kyuujitsu no Warumono-san,5.03,https://myanimelist.net/anime/54617/Kyuujitsu_no_Warumono-san,"<div class=""slider"">
<div class=""item"">
<span class=""server active
                                crunchyroll"">
<a data-src=""https://videos.vid4up.xyz/embedvideo/65ee0f205645a"">Blkom</a>
</span>
</div>
</div>","<div class=""modal-dialog modal-lg modal-content"" role=""document"">
<div class=""modal_heading modal-header"">
<button class=""close"" data-dismiss=""modal"" aria-label=""Close"">×</button>
<div class=""clearfix""></div>
</div>
<div class=""modal-body direct-download"">
<div class=""text-center direct-download-label"">التحميل المباشر</div>
<div class=""row video-files"">
<div class=""col-xs-12 text-left video-files-links"">
<div class=""panel panel-default"">
<div class=""panel-heading"" dir=""rtl"">
<a>ترجمة : Crunchyroll</a>
</div>
<div class=""panel-body"">
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65ee0f22eab83/download"" class=""btn btn-white"" title=""Crunchyroll"">
360p
<small>39.87 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65ee0f230add3/download"" class=""btn btn-white"" title=""Crunchyroll"">
480p
<small>55.88 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65ee0f231997e/download"" class=""btn btn-white"" title=""Crunchyroll"">
720p
<small>77.82 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65ee0f23234ca/download"" class=""btn btn-white"" title=""Crunchyroll"">
1080p
<small>141.07 MiB</small>
</a>
</div>
</div>
</div>
</div>
</div>
<div class=""clearfix""></div>
<div class=""modal-body"" style=""padding: 0 15px"">
</div>
<hr style=""margin: 0;"">
<div class=""modal-header"">
<div class=""row"">
<div class=""col-xs-12 text-center"">
<span>يمكنك تحميل الأنمي برابط واحد مباشر</span><br><br>
<a class=""btn btn-block btn-red sharp"" href=""https://blkom.com/anime/kyuujitsu-no-warumono-san/download"">تحميل عدة حلقات</a>
</div>
</div>
<div class=""clearfix""></div>
</div>
</div>",,0
"Jashin-chan Dropkick ""Seikimatsu-hen""",4.62,https://myanimelist.net/anime/55237/Jashin-chan_Dropkick_Seikimatsu-hen,"<div class=""slider"">
<div class=""item"">
<span class=""server active
                                crunchyroll"">
<a data-src=""https://videos.vid4up.xyz/embedvideo/65a587e8d29cb"">Blkom</a>
</span>
</div>
</div>","<div class=""modal-dialog modal-lg modal-content"" role=""document"">
<div class=""modal_heading modal-header"">
<button class=""close"" data-dismiss=""modal"" aria-label=""Close"">×</button>
<div class=""clearfix""></div>
</div>
<div class=""modal-body direct-download"">
<div class=""text-center direct-download-label"">التحميل المباشر</div>
<div class=""row video-files"">
<div class=""col-xs-12 text-left video-files-links"">
<div class=""panel panel-default"">
<div class=""panel-heading"" dir=""rtl"">
<a>ترجمة : Crunchyroll</a>
</div>
<div class=""panel-body"">
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65a587ef7d5d6/download"" class=""btn btn-white"" title=""Crunchyroll"">
360p
<small>46.42 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65a587f000a2f/download"" class=""btn btn-white"" title=""Crunchyroll"">
480p
<small>70.45 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65a587f053b8d/download"" class=""btn btn-white"" title=""Crunchyroll"">
720p
<small>104.42 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65a587f0ac476/download"" class=""btn btn-white"" title=""Crunchyroll"">
1080p
<small>192.67 MiB</small>
</a>
</div>
</div>
</div>
</div>
</div>
<div class=""clearfix""></div>
<div class=""modal-body"" style=""padding: 0 15px"">
</div>
</div>",,0
Kingdom 5th Season,9.26,https://myanimelist.net/anime/53223/Kingdom_5th_Season,"<div class=""slider"">
<div class=""item"">
<span class=""server active
                                fansub"">
<a data-src=""https://videos.vid4up.xyz/embedvideo/65ff2297d305e"">Blkom</a>
</span>
</div>
</div>","<div class=""modal-dialog modal-lg modal-content"" role=""document"">
<div class=""modal_heading modal-header"">
<button class=""close"" data-dismiss=""modal"" aria-label=""Close"">×</button>
<div class=""clearfix""></div>
</div>
<div class=""modal-body direct-download"">
<div class=""text-center direct-download-label"">التحميل المباشر</div>
<div class=""row video-files"">
<div class=""col-xs-12 text-left video-files-links"">
<div class=""panel panel-default"">
<div class=""panel-heading"" dir=""rtl"">
<a>ترجمة : Fansub</a>
</div>
<div class=""panel-body"">
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65ff229932a52/download"" class=""btn btn-white"" title=""Fansub"">
360p
<small>52.05 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65ff22995e736/download"" class=""btn btn-white"" title=""Fansub"">
480p
<small>84.17 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65ff229970c27/download"" class=""btn btn-white"" title=""Fansub"">
720p
<small>127.76 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65ff229974e45/download"" class=""btn btn-white"" title=""Fansub"">
1080p
<small>241.56 MiB</small>
</a>
</div>
</div>
</div>
</div>
</div>
<div class=""clearfix""></div>
<div class=""modal-body"" style=""padding: 0 15px"">
</div>
<hr style=""margin: 0;"">
<div class=""modal-header"">
<div class=""row"">
<div class=""col-xs-12 text-center"">
<span>يمكنك تحميل الأنمي برابط واحد مباشر</span><br><br>
<a class=""btn btn-block btn-red sharp"" href=""https://blkom.com/anime/kingdom-5th-season/download"">تحميل عدة حلقات</a>
</div>
</div>
<div class=""clearfix""></div>
</div>
</div>",,1
Kingdom 5th Season,9.26,https://myanimelist.net/anime/53223/Kingdom_5th_Season,"<div class=""slider"">
<div class=""item"">
<span class=""server active
                                fansub"">
<a data-src=""https://videos.vid4up.xyz/embedvideo/65f5ea10656b5"">Blkom</a>
</span>
</div>
</div>","<div class=""modal-dialog modal-lg modal-content"" role=""document"">
<div class=""modal_heading modal-header"">
<button class=""close"" data-dismiss=""modal"" aria-label=""Close"">×</button>
<div class=""clearfix""></div>
</div>
<div class=""modal-body direct-download"">
<div class=""text-center direct-download-label"">التحميل المباشر</div>
<div class=""row video-files"">
<div class=""col-xs-12 text-left video-files-links"">
<div class=""panel panel-default"">
<div class=""panel-heading"" dir=""rtl"">
<a>ترجمة : Fansub</a>
</div>
<div class=""panel-body"">
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f5ea11389a1/download"" class=""btn btn-white"" title=""Fansub"">
360p
<small>62.58 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f5ea1142ab5/download"" class=""btn btn-white"" title=""Fansub"">
480p
<small>111.81 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f5ea1144bae/download"" class=""btn btn-white"" title=""Fansub"">
720p
<small>171.36 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f5ea116ef64/download"" class=""btn btn-white"" title=""Fansub"">
1080p
<small>318.1 MiB</small>
</a>
</div>
</div>
</div>
</div>
</div>
<div class=""clearfix""></div>
<div class=""modal-body"" style=""padding: 0 15px"">
</div>
<hr style=""margin: 0;"">
<div class=""modal-header"">
<div class=""row"">
<div class=""col-xs-12 text-center"">
<span>يمكنك تحميل الأنمي برابط واحد مباشر</span><br><br>
<a class=""btn btn-block btn-red sharp"" href=""https://blkom.com/anime/kingdom-5th-season/download"">تحميل عدة حلقات</a>
</div>
</div>
<div class=""clearfix""></div>
</div>
</div>",,1
Nozomanu Fushi no Boukensha,6.44,https://myanimelist.net/anime/51648/Nozomanu_Fushi_no_Boukensha,"<div class=""slider"">
<div class=""item"">
<span class=""server active
                                animekey"">
<a data-src=""https://videos.vid4up.xyz/embedvideo/65f76fea1145d"">Blkom</a>
</span>
</div>
</div>","<div class=""modal-dialog modal-lg modal-content"" role=""document"">
<div class=""modal_heading modal-header"">
<button class=""close"" data-dismiss=""modal"" aria-label=""Close"">×</button>
<div class=""clearfix""></div>
</div>
<div class=""modal-body direct-download"">
<div class=""text-center direct-download-label"">التحميل المباشر</div>
<div class=""row video-files"">
<div class=""col-xs-12 text-left video-files-links"">
<div class=""panel panel-default"">
<div class=""panel-heading"" dir=""rtl"">
<a>ترجمة : AnimeKey</a>
</div>
<div class=""panel-body"">
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f76ff8b6bee/download"" class=""btn btn-white"" title=""AnimeKey"">
360p
<small>34.95 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f76ff8cf3eb/download"" class=""btn btn-white"" title=""AnimeKey"">
480p
<small>47.27 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f76ff8efb95/download"" class=""btn btn-white"" title=""AnimeKey"">
720p
<small>64.77 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f76ff93422d/download"" class=""btn btn-white"" title=""AnimeKey"">
1080p
<small>115.39 MiB</small>
</a>
</div>
</div>
</div>
</div>
</div>
<div class=""clearfix""></div>
<div class=""modal-body"" style=""padding: 0 15px"">
</div>
<hr style=""margin: 0;"">
<div class=""modal-header"">
<div class=""row"">
<div class=""col-xs-12 text-center"">
<span>يمكنك تحميل الأنمي برابط واحد مباشر</span><br><br>
<a class=""btn btn-block btn-red sharp"" href=""https://blkom.com/anime/nozomanu-fushi-no-boukensha/download"">تحميل عدة حلقات</a>
</div>
</div>
<div class=""clearfix""></div>
</div>
</div>",,0
Nozomanu Fushi no Boukensha,6.44,https://myanimelist.net/anime/51648/Nozomanu_Fushi_no_Boukensha,"<div class=""slider"">
<div class=""item"">
<span class=""server active
                                animekey"">
<a data-src=""https://videos.vid4up.xyz/embedvideo/65f778f9abb1b"">Blkom</a>
</span>
</div>
</div>","<div class=""modal-dialog modal-lg modal-content"" role=""document"">
<div class=""modal_heading modal-header"">
<button class=""close"" data-dismiss=""modal"" aria-label=""Close"">×</button>
<div class=""clearfix""></div>
</div>
<div class=""modal-body direct-download"">
<div class=""text-center direct-download-label"">التحميل المباشر</div>
<div class=""row video-files"">
<div class=""col-xs-12 text-left video-files-links"">
<div class=""panel panel-default"">
<div class=""panel-heading"" dir=""rtl"">
<a>ترجمة : AnimeKey</a>
</div>
<div class=""panel-body"">
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f778fa78cf4/download"" class=""btn btn-white"" title=""AnimeKey"">
360p
<small>38.52 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f778fabe04f/download"" class=""btn btn-white"" title=""AnimeKey"">
480p
<small>56.25 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f778fad4579/download"" class=""btn btn-white"" title=""AnimeKey"">
720p
<small>82.39 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65f778fada728/download"" class=""btn btn-white"" title=""AnimeKey"">
1080p
<small>156.37 MiB</small>
</a>
</div>
</div>
</div>
</div>
</div>
<div class=""clearfix""></div>
<div class=""modal-body"" style=""padding: 0 15px"">
</div>
<hr style=""margin: 0;"">
<div class=""modal-header"">
<div class=""row"">
<div class=""col-xs-12 text-center"">
<span>يمكنك تحميل الأنمي برابط واحد مباشر</span><br><br>
<a class=""btn btn-block btn-red sharp"" href=""https://blkom.com/anime/nozomanu-fushi-no-boukensha/download"">تحميل عدة حلقات</a>
</div>
</div>
<div class=""clearfix""></div>
</div>
</div>",,0
Sasaki to Pii-chan,7.14,https://myanimelist.net/anime/52482/Sasaki_to_Pii-chan,"<div class=""slider"">
<div class=""item"">
<span class=""server active
                                crunchyroll"">
<a data-src=""https://videos.vid4up.xyz/embedvideo/65fd86a36531a"">Blkom</a>
</span>
</div>
</div>","<div class=""modal-dialog modal-lg modal-content"" role=""document"">
<div class=""modal_heading modal-header"">
<button class=""close"" data-dismiss=""modal"" aria-label=""Close"">×</button>
<div class=""clearfix""></div>
</div>
<div class=""modal-body direct-download"">
<div class=""text-center direct-download-label"">التحميل المباشر</div>
<div class=""row video-files"">
<div class=""col-xs-12 text-left video-files-links"">
<div class=""panel panel-default"">
<div class=""panel-heading"" dir=""rtl"">
<a>ترجمة : Crunchyroll</a>
</div>
<div class=""panel-body"">
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65fd86b3887a6/download"" class=""btn btn-white"" title=""Crunchyroll"">
360p
<small>42.17 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65fd86b3cc20f/download"" class=""btn btn-white"" title=""Crunchyroll"">
480p
<small>65.74 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65fd86b3cd8c0/download"" class=""btn btn-white"" title=""Crunchyroll"">
720p
<small>97.17 MiB</small>
</a>
<a target=""_blank"" href=""https://videos.vid4up.xyz/video/65fd86b3cf9e3/download"" class=""btn btn-white"" title=""Crunchyroll"">
1080p
<small>184.14 MiB</small>
</a>
</div>
</div>
</div>
</div>
</div>
<div class=""clearfix""></div>
<div class=""modal-body"" style=""padding: 0 15px"">
</div>
<hr style=""margin: 0;"">
<div class=""modal-header"">
<div class=""row"">
<div class=""col-xs-12 text-center"">
<span>يمكنك تحميل الأنمي برابط واحد مباشر</span><br><br>
<a class=""btn btn-block btn-red sharp"" href=""https://blkom.com/anime/sasaki-to-pii-chan/download"">تحميل عدة حلقات</a>
</div>
</div>
<div class=""clearfix""></div>
</div>
</div>",,0
