name,rating,myanimelist,veiws,counting_comment,episode_number,myanimelist_id,mean_views,comments
"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",6.98,https://myanimelist.net/anime/7669/Bungaku_Shoujo_Kyou_no_Oyatsu__Hatsukoi,[11307],[0],1,7669.0,11307.0,0.0
"""Bungaku Shoujo"" Memoire",7.43,https://myanimelist.net/anime/8481/Bungaku_Shoujo_Memoire,"[11462, 3081, 3450]","[0, 0, 1]",3,8481.0,5997.666666666667,0.3333333333333333
"""Bungaku Shoujo"" Movie",6.2,https://myanimelist.net/anime/6408/Bungaku_Shoujo_Movie,[21450],[0],1,6408.0,21450.0,0.0
.hack//G.U. Trilogy,7.08,https://myanimelist.net/anime/3269/hack__GU_Trilogy,[6398],[0],1,3269.0,6398.0,0.0
.hack//Liminality,4.36,https://myanimelist.net/anime/299/hack__Liminality,"[7306, 2782]","[0, 0]",2,299.0,5044.0,0.0
.hack//Roots,6.34,https://myanimelist.net/anime/873/hack__Roots,"[7157, 3029, 2976, 2767, 2892, 2773, 2922, 2748, 2704, 2906, 2892, 3685, 2553, 2802, 2571, 2734, 3147, 2770, 2747, 3487, 3327, 3198, 3041, 2916, 3042, 2751]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,873.0,3097.576923076923,0.038461538461538464
.hack//Sign,7.7,https://myanimelist.net/anime/48/hack__Sign,"[6177, 3271, 2887, 3148, 3262, 2951, 3038, 2682, 2681, 2753, 2617, 3584, 3352, 2666, 2972, 3110, 3319, 3432, 2771, 2700, 3121, 3683, 3384, 4456, 3050, 3022, 3004, 3249]","[0, 0, 0, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",9,48.0,3226.5,0.6428571428571429
.hack//Versus: The Thanatos Report,6.14,https://myanimelist.net/anime/15219/hack__Versus__The_Thanatos_Report,[6177],[0],1,15219.0,6177.0,0.0
009-1: R&B,7.18,https://myanimelist.net/anime/3234/009-1__R_B,[12772],[0],1,3234.0,12772.0,0.0
07-Ghost,7.95,https://myanimelist.net/anime/5525/07-Ghost,"[29079, 10745, 10199, 10421, 10618, 10527, 10377, 10075, 10673, 12790, 9780, 17385, 9222, 9504, 8919, 8492, 8054, 10961, 14454, 13322, 13296, 12649, 11010, 11725, 9984]","[2, 1, 0, 2, 2, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2]",9,5525.0,11770.44,0.76
100-man no Inochi no Ue ni Ore wa Tatteiru,6.07,https://myanimelist.net/anime/41380/100-man_no_Inochi_no_Ue_ni_Ore_wa_Tatteiru,"[13097, 7360, 6875, 8198, 10164, 8711, 9973, 8341, 4404, 10029, 7404, 7820]","[2, 4, 0, 2, 2, 1, 0, 4, 0, 2, 0, 1]",9,41380.0,8531.333333333334,1.5
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,5.97,https://myanimelist.net/anime/44881/100-man_no_Inochi_no_Ue_ni_Ore_wa_Tatteiru_2nd_Season,"[7941, 4429, 4245, 4722, 6230, 5230, 5659, 5266, 5010, 4622, 4171, 4992]","[1, 2, 3, 1, 5, 2, 3, 0, 0, 1, 2, 0]",9,44881.0,5209.75,1.6666666666666667
11eyes,7.75,https://myanimelist.net/anime/6682/11eyes,"[10582, 3901, 3665, 3931, 6199, 5841, 5603, 4940, 5194, 4801, 4620, 4176]","[5, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0]",9,6682.0,5287.75,0.75
12-sai.: Chicchana Mune no Tokimeki,6.89,https://myanimelist.net/anime/32601/12-sai__Chicchana_Mune_no_Tokimeki,"[6819, 3908, 3670, 4608, 5042, 4625, 4752, 4040, 4237, 3805, 4267, 3903]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",9,32601.0,4473.0,0.08333333333333333
12-sai.: Chicchana Mune no Tokimeki 2nd Season,7.44,https://myanimelist.net/anime/33419,"[5235, 3807, 3493, 3771, 4803, 4107, 4066, 3794, 3886, 3817, 3986, 3893]","[0, 2, 0, 1, 30, 3, 0, 0, 0, 0, 0, 2]",9,33419.0,4054.8333333333335,3.1666666666666665
16bit Sensation: Another Layer,6.08,https://myanimelist.net/anime/54041/16bit_Sensation__Another_Layer,"[3119, 2807, 2034, 1580, 1904, 2786, 3079, 2990, 2879, 2809, 2396, 2404, 3182]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,54041.0,2613.0,0.0
18if,3.4,https://myanimelist.net/anime/35248/18if,"[4163, 2935, 2836, 2455, 2490, 2950, 2324, 2377, 2330, 2517]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,35248.0,2737.7,0.0
2.43: Seiin Koukou Danshi Volley-bu,7.0,https://myanimelist.net/anime/40679/243__Seiin_Koukou_Danshi_Volley-bu,"[4192, 2087, 1967, 2433, 2984, 2588, 2792, 2462, 2482, 2676, 2190, 2158]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",9,40679.0,2584.25,0.08333333333333333
22/7,6.96,https://myanimelist.net/anime/40148/22_7,"[4453, 3521, 2320, 2058, 3845, 4025, 2979, 2869, 2886, 2861, 3087, 2998]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,40148.0,3158.5,0.0
3-gatsu no Lion,8.42,https://myanimelist.net/anime/31646/3-gatsu_no_Lion,"[12396, 5598, 5831, 5084, 6080, 5282, 5706, 5516, 5688, 5101, 4836, 7266, 4826, 5172, 5987, 5787, 6316, 5421, 6522, 6702, 5865, 5620]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,31646.0,6027.363636363636,0.045454545454545456
3-gatsu no Lion 2nd Season,8.89,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,"[7179, 4666, 5278, 5636, 4950, 5015, 4928, 4705, 4758, 4758, 4947, 5171, 4350, 5214, 5504, 5026, 4855, 5048, 4706, 5280, 4865, 5014]","[3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",9,35180.0,5084.227272727273,0.22727272727272727
3-gatsu no Lion Recap,6.91,https://myanimelist.net/anime/34647/3-gatsu_no_Lion_Recap,[7343],[0],1,34647.0,7343.0,0.0
