id,name,sup_name,poster,Synonyms,Japanese,English,Spanish,German,French,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Premiered,number_of_votes,number_of_members,Synopsis,Related_Anime,review_ratio_box,Broadcast,anidb_id
41168.0,Nakitai Watashi wa Neko wo Kaburu,A Whisker Away,https://cdn.myanimelist.net/images/anime/1045/106389.jpg,['Nakineko'],['泣きたい私は猫をかぶる'],['A Whisker Away'],['Amor de Gata'],['Um ein Schnurrhaar'],"['Loin de Moi', ' Près de Toi']",['Movie'],1,Finished Airing,"Jun 18, 2020","['Fuji TV', 'TOHO', 'BS Fuji', 'TOHO animation', 'Universal Music Japan', 'Fuji Creative', 'Kadokawa', 'KDDI', 'Twin Engine', 'Dentsu Meitetsu Communications']",,['Studio Colorido'],Original,"['Award Winning', 'Drama', 'Romance', 'Supernatural']",['School'],,1 hr. 44 min.,PG-13 - Teens 13 or older,7.34,#2536,#522,"431,922","1,899",,"263,979","431,922","Miyo Sasaki is an energetic high school girl who comes from a broken family consisting of her unconfident father and an overly invested stepmother, whose attempts at connecting with Miyo come across as bothersome. Seeing Kento Hinode as a refuge from all her personal issues, she cannot help herself from forcing her unorthodox demonstrations of love onto her crush.

While Miyo is unable to get Kento's attention as herself, she manages to succeed by interacting with him in the form of a white cat, affectionately nicknamed ""Tarou"" by Kento. But Miyo soon realizes that she cannot help Kento with the various problems she overhears in her cat form and is now caught between two tough choices. Will she continue her relationship with him as a cat, or will she reveal her identity and risk what they have in order to help him as her human self?","[{'name': 'Adaptation:', 'value': ['Nakitai Watashi wa Neko wo Kaburu']}]","{'recommended': '100', 'mixed_feelings': '53', 'not_recommended': '32'}",,15373.0
41619.0,Munou na Nana,Talentless Nana,https://cdn.myanimelist.net/images/kaomoji_mal_white.png,,['無能なナナ'],['Talentless Nana'],,['Talentless Nana'],['Talentless Nana'],['TV'],13,Finished Airing,"Oct 4, 2020 to Dec 27, 2020","['Square Enix', 'AT-X', 'Nippon Columbia', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Docomo Anime Store', 'Yomiuri TV Enterprise', 'Kanon Sound', 'NichiNare', 'Kadokawa', 'Show Corporation']","['Funimation', 'Muse Communication']",['Bridge'],Manga,"['Supernatural', 'Suspense']","['Psychological', 'Super Power']",['Shounen'],23 min. per ep.,R - 17+ (violence & profanity),7.18,#3359,#712,"331,272","1,605",['Fall 2020'],"163,487","331,272","Fifty years ago, horrific creatures dubbed as the ""enemies of humanity"" suddenly appeared around the world. To combat these threats, teenagers gifted with supernatural abilities called ""Talents""—such as pyrokinesis and time travel—hone their powers at an academy on a secluded island. 

Nanao Nakajima, however, is quite different from the others on the island: he has no Talent. With many ""Talented"" teenagers around him, Nanao is often a target for bullying, but even so, he still strives to complete his training. Soon after, two transfer students, the mysterious Kyouya Onodera and the mind-reading Nana Hiiragi, join the class. But just as everyone starts blending as comrades-in-arms, mysterious disappearances begin to threaten the class's entire foundation.","[{'name': 'Adaptation:', 'value': ['Munou na Nana']}, {'name': 'Other:', 'value': ['Munou na Nana Mini Anime', 'Munou na Nana Mini Anime: Yaminabe Party']}]","{'recommended': '75', 'mixed_feelings': '29', 'not_recommended': '48'}",Sundays at 21:30 (JST),15492.0
39948.0,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,Muhyo & Roji's Bureau of Supernatural Investigation 2nd Season,https://cdn.myanimelist.net/images/userimages/9046166.jpg?t=1712761200,,['ムヒョとロージーの魔法律相談事務所 2期'],"[""Muhyo & Roji's Bureau of Supernatural Investigation 2nd Season""]",,,,['TV'],12,Finished Airing,"Jul 7, 2020 to Sep 22, 2020","['Lantis', 'Animax', 'Bridge', 'Asmik Ace', 'Amusement Media Academy', 'Bandai Namco Arts', 'SKY PerfecTV!', 'A3']",['Funimation'],['Studio Deen'],Manga,"['Mystery', 'Supernatural']",['Mythology'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.91,#4651,#4323,"26,113",45,['Summer 2020'],"6,829","26,113",Second season of Muhyo to Rouji no Mahouritsu Soudan Jimusho.,"[{'name': 'Adaptation:', 'value': ['Muhyo to Rouji no Mahouritsu Soudan Jimusho']}, {'name': 'Prequel:', 'value': ['Muhyo to Rouji no Mahouritsu Soudan Jimusho']}]","{'recommended': '1', 'mixed_feelings': '2', 'not_recommended': '0'}",Tuesdays at 19:00 (JST),14953.0
37510.0,Mob Psycho 100 II,,https://cdn.myanimelist.net/images/userimages/15120498.jpg?t=1712867400,"['Mob Psycho 100 2nd Season', ' Mob Psycho Hyaku', ' Mob Psycho One Hundred']",['モブサイコ100 II'],['Mob Psycho 100 II'],,,,['TV'],13,Finished Airing,"Jan 7, 2019 to Apr 1, 2019","['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",['Funimation'],['Bones'],Web manga,"['Action', 'Comedy', 'Supernatural']",['Super Power'],,24 min. per ep.,PG-13 - Teens 13 or older,8.79,#34,#72,"1,522,381","32,300",['Winter 2019'],"961,081","1,522,381","Shigeo ""Mob"" Kageyama is now maturing and understanding his role as a supernatural psychic that has the power to drastically affect the livelihood of others. He and his mentor Reigen Arataka continue to deal with supernatural requests from clients, whether it be exorcizing evil spirits or tackling urban legends that haunt the citizens.

While the workflow remains the same, Mob isn't just blindly following Reigen around anymore. With all his experiences as a ridiculously strong psychic, Mob's supernatural adventures now have more weight to them. Things take on a serious and darker tone as the dangers Mob and Reigen face are much more tangible and unsettling than ever before.","[{'name': 'Adaptation:', 'value': ['Mob Psycho 100']}, {'name': 'Prequel:', 'value': ['Mob Psycho 100']}, {'name': 'Side story:', 'value': ['Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi']}, {'name': 'Sequel:', 'value': ['Mob Psycho 100 III']}]","{'recommended': '173', 'mixed_feelings': '15', 'not_recommended': '6'}",Mondays at 23:00 (JST),13939.0
42590.0,Mashiro no Oto,Those Snow White Notes,https://cdn.myanimelist.net/images/userimages/10007387.jpg?t=1712850000,,['ましろのおと'],['Those Snow White Notes'],['Those Snow White Notes'],['Those Snow White Notes'],['Those Snow White Notes'],['TV'],12,Finished Airing,"Apr 3, 2021 to Jun 19, 2021",['DMM Music'],,['Shin-Ei Animation'],Manga,['Drama'],"['Music', 'School']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.53,#1752,#1531,"149,542",786,['Spring 2021'],"60,121","149,542","Setsu Sawamura runs away from his small home village following the death of his grandfather, the legendary shamisen master Matsugorou Sawamura. On his deathbed, Matsugorou told Setsu to give up the shamisen if he was only going to imitate others instead of playing in his own way. Grieving, Setsu heads for Tokyo, hoping that the big city can inspire him to discover his own unique playing style. But Tokyo defies his expectations by drowning out all other sounds with the deafening noise of its city life. 

Concerned about her son, Setsu's rich and successful mother, Umeko, waltzes back into his life and forces him to enroll in Umezono Academy. At the school, he meets Shuri Maeda, a girl who is fascinated by the Tsugaru shamisen and wishes to perform a song her grandmother once heard a long time ago. Shuri starts up a shamisen appreciation club and convinces Setsu to teach the members how to play the instrument. As he becomes more involved with the club, will Setsu be able to recover his love for the shamisen and discover the unique sound he lacks?","[{'name': 'Adaptation:', 'value': ['Mashiro no Oto']}, {'name': 'Other:', 'value': ['Mashiro no Oto Mini']}]","{'recommended': '44', 'mixed_feelings': '17', 'not_recommended': '2'}",Saturdays at 02:25 (JST),15666.0
41265.0,Mars Red,,https://cdn.myanimelist.net/images/userimages/6537440.jpg?t=1712822400,,['MARS RED'],['Mars Red'],,,,['TV'],13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021","['VAP', 'Yomiuri TV Enterprise', 'Pony Canyon Enterprises', 'D-techno', 'Nihon Keizai Koukokusha']",['Funimation'],['Signal.MD'],Other,"['Action', 'Supernatural']","['Adult Cast', 'Historical', 'Military', 'Vampire']",,23 min. per ep.,PG-13 - Teens 13 or older,6.59,#6365,#1758,"124,812",585,['Spring 2021'],"36,124","124,812","In the year 1923, a vampire crisis takes Tokyo by storm. Provoked by the illegal trade of ""Ascra,"" an artificial blood source, the population of vampires begins to rapidly increase within the city. Under orders from Lieutenant General Sounosuke Nakajima, the Special Forces Unit 16 gathers vampires within the military to create a new undercover vampire-hunting unit known as Code Zero.

Leading the unit is Colonel Yoshinobu Maeda. Responsible for locating the source of the Ascra trade as well as capturing and killing vampires, he is pressured into producing fruitful results amidst the growing criticism that threatens to decommission the unit. To make matters worse, the vampires within the unit are struggling to grasp their newfound powers and identities now that they are no longer human. With the world at odds against them, the members of Code Zero must find a way to curb the crisis or otherwise fall victim to their own demonic natures.","[{'name': 'Adaptation:', 'value': ['Mars Red']}, {'name': 'Side story:', 'value': ['Mars Red: Zero Kikan Nippou']}]","{'recommended': '27', 'mixed_feelings': '6', 'not_recommended': '4'}",Tuesdays at 01:59 (JST),15389.0
40397.0,Maoujou de Oyasumi,Sleepy Princess in the Demon Castle,https://cdn.myanimelist.net/images/userimages/7522384.jpg?t=1712600400,"[""Sleeping in Devil's Castle""]",['魔王城でおやすみ'],['Sleepy Princess in the Demon Castle'],,['Sleepy Princess in the Demon Castle'],['Sleepy Princess in the Demon Castle'],['TV'],12,Finished Airing,"Oct 6, 2020 to Dec 22, 2020","['Lantis', 'FuRyu']",['Funimation'],['Doga Kobo'],Manga,"['Comedy', 'Fantasy']",['Mythology'],['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.97,#676,#1129,"213,618","2,276",['Fall 2020'],"98,556","213,618","The Demon Lord Tasogare's castle is a dark and frightening place, filled to the brim with various monsters. Any soul unfortunate enough to be imprisoned here is sure to be terrified by the horrors within. However, the human princess Aurora Suya Rhys ""Syalis"" Kaymin is a different case. Rather indifferent to her situation, Syalis worries about one thing and one thing only—sleep. Ever since the demon lord kidnapped her from her kingdom, she has not had a single good night's rest.

To alleviate her dozen dozing issues, the princess makes do with what she can find in the castle. Whether it be the fur of fluffy demonic teddy bears or the silky, blanket-like bodies of ghost shrouds, everything is but a means to ensure a peaceful slumber. With so many potential materials to craft items that can help her sleep at her disposal, nothing will stop the sleepy princess—not even death.","[{'name': 'Adaptation:', 'value': ['Maoujou de Oyasumi']}, {'name': 'Side story:', 'value': ['Mamono-tachi no Kunou']}]","{'recommended': '74', 'mixed_feelings': '1', 'not_recommended': '1'}",Tuesdays at 02:00 (JST),15095.0
40496.0,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",The Misfit of Demon King Academy,https://cdn.myanimelist.net/images/userimages/6448140.jpg?t=1712853000,"[""The Misfit of Demon King Academy: History's Strongest Demon King Reincarnates and Goes to School with His Descendants""]",['魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～'],['The Misfit of Demon King Academy'],['The Misfit of Demon King Academy'],['The Misfit of Demon King Academy'],['The Misfit of Demon King Academy'],['TV'],13,Finished Airing,"Jul 4, 2020 to Sep 26, 2020","['Aniplex', 'Movic', 'AT-X', 'Studio Mausu', 'Tokyo MX', 'Q-Tec', 'Docomo Anime Store', 'Medicos Entertainment', 'BS11', 'Contents Seed', 'Kadokawa', 'ADK Marketing Solutions']",['Aniplex of America'],['SILVER LINK.'],Light novel,"['Action', 'Fantasy']","['Mythology', 'Reincarnation', 'School']",,23 min. per ep.,R - 17+ (violence & profanity),7.36,#2417,#238,"795,148","6,275",['Summer 2020'],"470,680","795,148","In the distant past, a war between humans and demons brought about widespread chaos and bloodshed. To put an end to this seemingly endless conflict, Demon King Anos Voldigoad willingly sacrificed his life, hoping to be reborn in a peaceful future.

In preparation for their king's return, the demon race created the Demon King Academy, an elite institution tasked with determining Anos' identity when he reawakens. He reincarnates two millennia later, but to his surprise, he soon learns that the level of magic in the world has drastically waned during his absence. Moreover, when he enrolls at the academy to reclaim his rightful title, he finds out that demonkind remembers him differently. His personality, his deeds, and even his legacy are all falsified—masked beneath the name of an impostor. This ""lack"" of common knowledge renders him the academy's outlier—a misfit never before seen in history.

Despite these drawbacks, Anos remains unfazed. As he sets out to uncover those altering his glorious past, he takes it upon himself to make his descendants recognize that their ruler has finally returned.","[{'name': 'Adaptation:', 'value': ['Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou']}, {'name': 'Sequel:', 'value': ['Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou']}]","{'recommended': '208', 'mixed_feelings': '60', 'not_recommended': '48'}",Saturdays at 23:30 (JST),15131.0
40571.0,Majo no Tabitabi,Wandering Witch: The Journey of Elaina,https://cdn.myanimelist.net/images/userimages/39613.jpg?t=1697751000,,['魔女の旅々'],['Wandering Witch: The Journey of Elaina'],,['Elainas Reise'],['Wandering Witch: The Journey of Elaina'],['TV'],12,Finished Airing,"Oct 2, 2020 to Dec 18, 2020","['Lantis', 'Movic', 'AT-X', 'Kadokawa Media House', 'Kadokawa', 'SB Creative']",['Funimation'],['C2C'],Light novel,"['Adventure', 'Fantasy']",,,24 min. per ep.,R - 17+ (violence & profanity),7.56,#1639,#571,"398,819","3,851",['Fall 2020'],"183,701","398,819","Since childhood, Elaina has always been fascinated by the stories written within her favorite book, especially those about Nike, a renowned witch who had numerous great travels across the world. Wanting to experience the awe of adventure herself, Elaina strives to become a witch, and despite the numerous trials that come her way, she eventually succeeds.

Now a full-fledged witch, Elaina finally embarks on her long-awaited journey, in which she meets many people along the way, learning their various stories. Through all of this, she explores the world at its fullest—experiencing both its bright and dark sides—starting her legendary tale.","[{'name': 'Adaptation:', 'value': ['Majo no Tabitabi']}, {'name': 'Other:', 'value': ['Haiiro no Saga']}]","{'recommended': '99', 'mixed_feelings': '20', 'not_recommended': '23'}",Fridays at 21:00 (JST),15202.0
41402.0,Mairimashita! Iruma-kun 2nd Season,Welcome to Demon School! Iruma-kun Season 2,https://cdn.myanimelist.net/images/kaomoji_mal_white.png,['Welcome to Demon School! Iruma-kun 2nd Season'],['魔入りました！入間くん'],['Welcome to Demon School! Iruma-kun Season 2'],['Welcome to Demon School! Iruma-kun Temporada 2'],['Welcome to Demon School! Iruma-kun Staffel 2'],['Welcome to Demon School! Iruma-kun Saison 2'],['TV'],21,Finished Airing,"Apr 17, 2021 to Sep 11, 2021","['NHK', 'NHK Enterprises']",,['Bandai Namco Pictures'],Manga,"['Comedy', 'Fantasy']","['Isekai', 'Mythology', 'School']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,8.04,#571,#751,"317,394","2,369",['Spring 2021'],"157,819","317,394","After many trials and tribulations, Iruma Suzuki is finally happily living among demons despite having to hide his true identity as a human. Even more so, he has now found his ambition in life: keep ranking up in this world!

However, that plan is halted when Iruma's club is temporarily dismissed, and he is forced to be part of the student council, known for its strictness toward rowdy students. Its cold-hearted president is Amelie Azazel, Iruma's friend. Although Iruma is not used to following their rigid schedule and many rules, he still wants to prove himself and help Amelie alongside all of the other members of the council. 

But trouble arises when Amelie's personality completely changes due to strange circumstances, putting the student council's reputation in jeopardy. Will Iruma be able to save them and avoid having the whole school turn into pure chaos?","[{'name': 'Adaptation:', 'value': ['Mairimashita! Iruma-kun']}, {'name': 'Prequel:', 'value': ['Mairimashita! Iruma-kun']}, {'name': 'Sequel:', 'value': ['Mairimashita! Iruma-kun 3rd Season']}]","{'recommended': '30', 'mixed_feelings': '2', 'not_recommended': '0'}",Saturdays at 17:35 (JST),15428.0
